"Source:","C:\Users\Daniel bilodeau\OneDrive\Documents\Projects\Fume_extractor\Ki_PCB\Ki_PCB.kicad_sch"
"Date:","2022-11-24 8:00:17 PM"
"Tool:","Eeschema (6.0.5)"
"Generator:","D:\Software\kicad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","67"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey link","Part number","Spice_Model","Spice_Netlist_Enabled","Spice_Primitive"
"","","D4","RB520S30T5G","Diode:1N4001","Diode_SMD:D_SOD-523","https://www.onsemi.com/pdf/datasheet/rb520s30t1-d.pdf","https://www.digikey.ca/en/products/detail/onsemi/RB520S30T5G/2797277","RB520S30T5G","","",""
"","","D5","Yellow","LED:CQY99","LED_THT:LED_D3.0mm","https://www.prtice.info/IMG/pdf/CQY99.pdf","","","","",""
"","","D6","CRS05(TE85L,Q,M)","Device:D_Schottky","Diode_SMD:CRS05(TE85L,Q,M)","https://toshiba.semicon-storage.com/info/CRS05_datasheet_en_20190401.pdf?did=3163&prodName=CRS05","https://www.digikey.ca/en/products/detail/toshiba-semiconductor-and-storage/CRS05-TE85L-Q-M/871558","CRS05(TE85L,Q,M)","","",""
"","","J1","0039301020","Connector_Generic:Conn_01x02","Connector_Molex:Molex_Mini-Fit_Jr_5569-02A2_2x01_P4.20mm_Horizontal","https://www.molex.com/pdm_docs/ps/PS-5556-001.pdf","https://www.digikey.ca/en/products/detail/molex/0039301020/561078?s=N4IgTCBcDaIMwE44AYCMyzJAXQL5A","0039301020","","",""
"","","J2","B3B-XH-AM(LF)(SN)","Connector_Generic:Conn_01x03","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/B3B-XH-AM-LF-SN/1651029","B3B-XH-AM(LF)(SN)","","",""
"","","J3","0039301020","Connector_Generic:Conn_01x02","Connector_Molex:Molex_Mini-Fit_Jr_5569-02A2_2x01_P4.20mm_Horizontal","https://www.molex.com/pdm_docs/ps/PS-5556-001.pdf","https://www.digikey.ca/en/products/detail/molex/0039301020/561078?s=N4IgTCBcDaIMwE44AYCMyzJAXQL5A","0039301020","","",""
"","","J4","0470531000","Connector_Generic:Conn_01x04","Connector:FanPinHeader_1x04_P2.54mm_Vertical","https://www.molex.com/pdm_docs/sd/470531000_sd.pdf","https://www.digikey.ca/en/products/detail/molex/0470531000/2421261?s=N4IgTCBcDaIAwBYDscCsBmAjHHIC6AvkA","","","",""
"","","J5","4pin JST","Connector_Generic:Conn_01x04","Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical","~","","","","",""
"","","J6","0039301020","Connector_Generic:Conn_01x02","Connector_Molex:Molex_Mini-Fit_Jr_5569-02A2_2x01_P4.20mm_Horizontal","https://www.molex.com/pdm_docs/ps/PS-5556-001.pdf","https://www.digikey.ca/en/products/detail/molex/0039301020/561078?s=N4IgTCBcDaIMwE44AYCMyzJAXQL5A","0039301020","","",""
"","","L1","100uH","pspice:INDUCTOR","Inductor_SMD:74404063101","https://www.we-online.com/katalog/datasheet/74404063101.pdf","https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/74404063101/4865679?s=N4IgTCBcDaIOwBYEAYUDYDMBGZWQF0BfIA","74404063101","","",""
"","","Q1","SI2301-TP","Transistor_FET:SI2301-TP","Package_TO_SOT_SMD:SOT-323_SC-70","https://www.mccsemi.com/pdf/Products/SI2301(SOT-23).pdf","https://www.digikey.ca/en/products/detail/micro-commercial-co/SI2301-TP/1793242","SI2301-TP","","",""
"","","Q2","SI2102A-TP","Transistor_FET:SI2102A-TP","Package_TO_SOT_SMD:SOT-323_SC-70","https://www.mccsemi.com/pdf/Products/SI2102A(SOT-323).pdf","https://www.digikey.ca/en/products/detail/micro-commercial-co/SI2102A-TP/15277502?s=N4IgTCBcDaIMoEkwEYAMYCCBaAKgBRAF0BfIA","SI2102A-TP","","",""
"","","Q3","SI2102A-TP","Transistor_FET:SI2102A-TP","Package_TO_SOT_SMD:SOT-323_SC-70","https://www.mccsemi.com/pdf/Products/SI2102A(SOT-323).pdf","https://www.digikey.ca/en/products/detail/micro-commercial-co/SI2102A-TP/15277502?s=N4IgTCBcDaIMoEkwEYAMYCCBaAKgBRAF0BfIA","SI2102A-TP","","",""
"","","Q4","SI2102A-TP","Transistor_FET:SI2102A-TP","Package_TO_SOT_SMD:SOT-323_SC-70","https://www.mccsemi.com/pdf/Products/SI2102A(SOT-323).pdf","https://www.digikey.ca/en/products/detail/micro-commercial-co/SI2102A-TP/15277502?s=N4IgTCBcDaIMoEkwEYAMYCCBaAKgBRAF0BfIA","SI2102A-TP","","",""
"","","Q5","SI2102A-TP","Transistor_FET:SI2102A-TP","Package_TO_SOT_SMD:SOT-323_SC-70","https://www.mccsemi.com/pdf/Products/SI2102A(SOT-323).pdf","https://www.digikey.ca/en/products/detail/micro-commercial-co/SI2102A-TP/15277502?s=N4IgTCBcDaIMoEkwEYAMYCCBaAKgBRAF0BfIA","SI2102A-TP","","",""
"","","Q6","SI2102A-TP","Transistor_FET:SI2102A-TP","Package_TO_SOT_SMD:SOT-323_SC-70","https://www.mccsemi.com/pdf/Products/SI2102A(SOT-323).pdf","https://www.digikey.ca/en/products/detail/micro-commercial-co/SI2102A-TP/15277502?s=N4IgTCBcDaIMoEkwEYAMYCCBaAKgBRAF0BfIA","SI2102A-TP","","",""
"","","Q7","SI2102A-TP","Transistor_FET:SI2102A-TP","Package_TO_SOT_SMD:SOT-323_SC-70","https://www.mccsemi.com/pdf/Products/SI2102A(SOT-323).pdf","https://www.digikey.ca/en/products/detail/micro-commercial-co/SI2102A-TP/15277502?s=N4IgTCBcDaIMoEkwEYAMYCCBaAKgBRAF0BfIA","SI2102A-TP","","",""
"","","R1","510","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R2","10K","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.seielect.com/catalog/sei-rncp.pdf","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RNCP0805FTD10K0/2240262","RNCP0805FTD10K0","","",""
"","","R3","0R110","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf","https://www.digikey.ca/en/products/detail/panasonic-electronic-components/ERJ-6BSFR11V/5647600","ERJ-6BSFR11V","","",""
"","","R4","330","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0805FT330R/1760484","RMCF0805FT330R","","",""
"","","R5","330","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0805FT330R/1760484","RMCF0805FT330R","","",""
"","","R6","261","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0805FG261R/1712914","RMCF0805FG261R","","",""
"","","R7","261","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0805FG261R/1712914","RMCF0805FG261R","","",""
"","","R8","442","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0805FT442R/1760521","RMCF0805FT442R","","",""
"","","R9","2K7","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0805FT2K70/1760308","RMCF0805FT2K70","","",""
"","","R10","2K7","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0805FT2K70/1760308","RMCF0805FT2K70","","",""
"","","R11","100","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0805FT100R/1760711","RMCF0805FT100R","","",""
